Logged,parentName,parentCmd,parentFilePath,objectUser,osDescription,processName,processFilePath,processCmd,objectFilePath,processSigner
03/10/2023 13:01,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 13:01,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 13:01,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 13:01,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 13:01,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 13:01,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:58,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:58,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:58,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:58,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
